Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status
Madhapur,Apartment,3,2750,59.35,0.02,2002,Furnished,21,29,23,6,8,Low,Yes,No,"Playground, Pool",West,Broker,Under_Construction
Begumpet,Independent House,5,2530,432.53,0.17,2007,Furnished,22,29,18,5,6,Low,No,No,"Garden, Pool",North,Broker,Ready_to_Move
Begumpet,Apartment,5,4376,272.95,0.06,2001,Semi-furnished,21,12,24,2,2,Medium,Yes,No,"Gym, Pool",North,Owner,Ready_to_Move
Kavuri Hills,Villa,1,3010,29.24,0.01,2015,Unfurnished,2,20,10,6,5,Medium,Yes,No,"Pool, Playground, Garden, Clubhouse, Gym",East,Builder,Under_Construction
Hitech City,Apartment,3,2879,31.33,0.01,1998,Unfurnished,27,30,27,2,3,Medium,No,No,"Clubhouse, Pool, Gym, Playground",South,Owner,Ready_to_Move
Film Nagar,Apartment,4,2597,300.43,0.12,2000,Furnished,24,7,25,10,10,Medium,No,No,"Clubhouse, Garden, Playground",South,Broker,Ready_to_Move
Gachibowli,Apartment,2,4021,292.75,0.07,1997,Unfurnished,20,8,28,9,8,High,Yes,No,"Clubhouse, Garden, Gym",West,Broker,Under_Construction
Jubilee Hills,Apartment,4,4975,266.04,0.05,1991,Furnished,6,8,34,6,1,High,Yes,No,"Clubhouse, Pool, Gym",West,Builder,Under_Construction
Raidurg,Independent House,2,1381,353.92,0.26,2020,Furnished,16,10,5,6,2,Low,No,No,"Garden, Pool, Gym",South,Owner,Ready_to_Move
Banjara Hills,Apartment,2,1401,269.51,0.19,1992,Unfurnished,10,19,33,2,5,Low,Yes,No,"Clubhouse, Gym",North,Builder,Under_Construction
Gachibowli,Villa,2,1809,63.61,0.04,2009,Furnished,15,5,16,10,6,Low,No,No,Gym,North,Owner,Ready_to_Move
Jubilee Hills,Independent House,5,2883,410.48,0.14,2000,Unfurnished,14,9,25,4,1,High,Yes,No,"Playground, Gym, Clubhouse, Pool, Garden",North,Builder,Ready_to_Move
Banjara Hills,Villa,4,3112,495.64,0.16,2005,Semi-furnished,12,10,20,1,10,High,Yes,No,"Clubhouse, Pool, Gym, Playground",West,Owner,Under_Construction
Jubilee Hills,Villa,5,4412,198.83,0.05,2023,Unfurnished,9,4,2,8,3,Low,No,Yes,"Clubhouse, Playground, Gym, Garden",West,Builder,Ready_to_Move
Gachibowli,Villa,5,4535,377.08,0.08,1992,Unfurnished,6,9,33,9,10,Low,No,No,"Pool, Clubhouse",South,Broker,Ready_to_Move
Financial District,Apartment,4,1758,455.02,0.26,2023,Furnished,6,12,2,4,8,High,Yes,No,"Clubhouse, Pool, Playground, Gym, Garden",East,Broker,Ready_to_Move
Nanakramguda,Independent House,5,4453,18.89,0.0,2003,Semi-furnished,5,5,22,8,9,High,No,No,"Playground, Garden, Gym, Clubhouse",North,Builder,Under_Construction
Begumpet,Apartment,4,2629,354.91,0.13,1994,Furnished,7,7,31,8,6,High,No,Yes,"Clubhouse, Garden",West,Owner,Under_Construction
Kokapet,Independent House,1,1959,102.17,0.05,2021,Semi-furnished,2,20,4,3,1,Medium,Yes,No,Garden,West,Builder,Ready_to_Move
Raidurg,Apartment,2,3433,115.62,0.03,2020,Furnished,6,26,5,5,3,Medium,Yes,No,"Pool, Garden",North,Owner,Ready_to_Move
Gachibowli,Villa,3,2143,139.7,0.07,2021,Furnished,8,13,4,6,8,Low,No,Yes,"Playground, Garden, Pool, Gym, Clubhouse",South,Builder,Ready_to_Move
Nanakramguda,Villa,2,2851,223.81,0.08,2012,Furnished,11,13,13,8,3,Low,No,No,"Pool, Clubhouse, Playground",South,Builder,Ready_to_Move
Kavuri Hills,Villa,1,2528,180.67,0.07,2010,Unfurnished,2,7,15,1,2,Low,Yes,No,Clubhouse,West,Owner,Under_Construction
Kavuri Hills,Apartment,4,2326,145.41,0.06,2003,Furnished,15,19,22,7,9,Low,No,No,"Playground, Garden",North,Owner,Under_Construction
Somajiguda,Independent House,5,2192,180.58,0.08,1992,Semi-furnished,11,11,33,8,7,Medium,Yes,No,"Playground, Gym, Clubhouse, Garden, Pool",North,Builder,Ready_to_Move
Narsingi,Villa,4,4869,400.39,0.08,1991,Semi-furnished,1,26,34,5,10,Low,Yes,Yes,"Gym, Pool, Playground, Clubhouse",West,Builder,Ready_to_Move
Financial District,Apartment,1,1392,87.07,0.06,2005,Furnished,0,4,20,9,3,Low,Yes,Yes,"Clubhouse, Garden",East,Broker,Ready_to_Move
Banjara Hills,Villa,4,1963,121.81,0.06,2018,Semi-furnished,8,11,7,5,5,Low,No,No,"Garden, Playground, Clubhouse, Pool, Gym",North,Builder,Under_Construction
Kokapet,Villa,4,4305,452.73,0.11,1997,Unfurnished,6,15,28,4,6,Low,No,No,"Garden, Playground",South,Owner,Ready_to_Move
Hitech City,Independent House,3,4294,454.45,0.11,2009,Unfurnished,24,29,16,9,5,Medium,No,No,"Pool, Gym, Garden, Playground",East,Broker,Ready_to_Move
Nanakramguda,Independent House,5,3962,261.69,0.07,1996,Furnished,26,4,29,10,8,Medium,No,No,"Playground, Gym, Garden",West,Broker,Ready_to_Move
Kavuri Hills,Apartment,2,3846,487.41,0.13,2011,Semi-furnished,13,13,14,9,9,High,No,Yes,"Garden, Clubhouse, Playground, Pool, Gym",North,Owner,Under_Construction
Narsingi,Villa,2,4716,260.01,0.06,2007,Furnished,15,12,18,5,1,High,No,No,"Gym, Garden, Clubhouse",South,Owner,Under_Construction
Nanakramguda,Independent House,4,3634,168.96,0.05,1999,Unfurnished,13,12,26,5,7,Low,Yes,Yes,"Clubhouse, Pool, Garden",South,Owner,Ready_to_Move
Somajiguda,Villa,4,629,328.32,0.52,2019,Furnished,15,1,6,8,6,Low,No,Yes,Garden,East,Broker,Ready_to_Move
Khanapur,Apartment,3,3439,248.25,0.07,1995,Furnished,1,10,30,5,2,Low,No,Yes,"Pool, Garden, Playground, Gym, Clubhouse",North,Broker,Under_Construction
Khanapur,Independent House,4,1356,360.52,0.27,2012,Semi-furnished,16,28,13,2,8,High,Yes,Yes,"Clubhouse, Garden, Playground",South,Builder,Ready_to_Move
